exe,exit,items,ppid,pid,comm,timedelta,num_id_anomalies
/usr/bin/grep,0,2,26198,26263,grep,,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26264,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26264,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26264,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26264,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26264,grep,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26253,find,-1.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26253,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26253,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26253,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26254,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26254,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26254,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26254,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26254,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26255,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26255,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26255,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26255,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26255,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26256,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26256,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26256,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26256,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26256,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26257,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26257,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26257,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26257,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26257,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26258,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26258,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26258,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26258,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26258,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26259,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26259,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26259,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26259,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26259,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26260,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26260,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26260,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26260,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26260,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26261,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26261,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26261,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26261,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26261,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26262,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26262,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26262,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26262,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26262,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26263,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26263,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,1.0,0
/usr/bin/find,-2,1,26198,26263,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26263,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26263,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26264,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26264,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26264,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26264,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26264,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26265,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26265,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26265,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26265,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26265,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26266,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26266,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26266,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26266,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26266,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26267,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26267,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26267,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26267,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26267,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26268,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26268,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26268,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26268,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26268,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26269,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26269,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26269,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26269,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26269,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,3194,26272,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/wc,0,2,26273,26275,wc,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/seq,0,2,3194,26276,seq,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/seq,0,2,3194,26277,seq,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/seq,0,2,3194,26278,seq,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/seq,0,2,3194,26279,seq,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26265,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26265,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26265,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26265,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26265,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26266,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26266,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26266,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26266,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26266,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26267,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26267,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26267,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26267,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/grep,0,2,26198,26267,grep,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26268,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
/usr/bin/find,-2,1,26198,26268,find,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
,,,,,,0.0,0
